func,ndims,nitn,nitn_pre,neval,result_mean,result_sdev,total_time,prec_time,avg_neval,chi2,Q
F2,2,5,0,200000,1.0000042959513038,2.4675766056844434e-05,0.15777792930603027,0.0,194834.8,3.4861946582794188,0.5233329323457205
F2,2,5,1,200000,1.0000060332781953,2.4676513955758593e-05,0.15977272987365723,0.03291192054748535,193616.4,3.5289445877075196,0.4455886453250818
F2,2,5,2,200000,0.9999939271200183,2.5252077656603765e-05,0.15977272987365723,0.06582393646240234,192238.8,1.7005783557891845,0.46586938219760643
F2,2,5,3,200000,0.9999793617288283,2.734774624182782e-05,0.15957579612731934,0.09634237289428711,190781.0,0.7279414176940918,0.4998298146306831
F2,4,5,0,200000,1.0000106876537989,0.0005486215294817182,0.2263920783996582,0.0,194781.6,4.372335490304977,0.4097136136053813
F2,4,5,1,200000,0.9999978168284068,0.0005497627213536712,0.2273918628692627,0.04547834396362305,194801.0,2.670371077209711,0.4756146796593935
F2,4,5,2,200000,1.0001316743277848,0.0005571831880597449,0.22858839035034179,0.09335012435913086,193665.8,2.0269830667413773,0.41847372514021475
F2,4,5,3,200000,1.0000877876640923,0.0005823473758141334,0.22878813743591309,0.13882870674133302,192016.0,0.537518660351634,0.6250562743060041
F2,6,5,0,200000,1.0012240337429574,0.0025097393237345465,0.30159358978271483,0.0,190105.4,8.673278218728957,0.2810494093858228
F2,6,5,1,200000,1.0000778019765248,0.0024939942072081506,0.3019890785217285,0.055647850036621094,192673.2,3.9601295998727437,0.4433733523761084
F2,6,5,2,200000,1.0000930771673728,0.0025330514810393435,0.3061811923980713,0.12107610702514648,191919.2,4.350283982069231,0.3406434816492093
F2,6,5,3,200000,1.0005053772021164,0.0025294180407716624,0.30578198432922366,0.18271112442016602,190595.4,0.313888548099203,0.655861034649026
F2,8,5,0,200000,0.9774003398700334,0.007016621819988955,0.3747976303100586,0.0,189299.0,396.9548742366249,0.22569015598508718
F2,8,5,1,200000,0.9999562356660627,0.006904995284027096,0.376193904876709,0.0674196720123291,190000.0,2.8024762967783317,0.490123582659178
F2,8,5,2,200000,0.9986031236284545,0.006957111698871974,0.3799837589263916,0.15259184837341308,189507.2,3.5364005582574465,0.4739926064670173
F2,8,5,3,200000,1.0004824104526266,0.006920057239792003,0.3809811115264893,0.23138132095336914,188551.2,0.8647873613248521,0.4557316598046305
